# Reviewed Japanese to Traditional Chinese Christian terminology.
恵み,恩典
聖書,聖經
福音,福音
キリスト,基督
バプテスト,浸信會
聖霊,聖靈
復活,復活
救い,救恩
希望,盼望
平和,和平
