ユニバーサル神の王国教会,Igreja Universal do Reino de Deus
日本リバイバル教会,Igreja Avivamento Japão
信仰リバイバル教会,Igreja Avivamento da Fé
神の恵み国際教会,Igreja Internacional da Graça de Deus
ボラ・デ・ネーヴェ教会,Bola de Neve Church
