# Reviewed Japanese to Simplified Chinese Christian terminology.
恵み,恩典
聖書,圣经
福音,福音
キリスト,基督
バプテスト,浸信会
聖霊,圣灵
復活,复活
救い,救恩
希望,盼望
平和,和平
